method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,55.0,MARC-generic,2020-07-07 08:35:02.595301,1.1974494694480442,0.9274617520231555,0.9809203142536476,0.9250317972162584,0.9308975276513819,0.9236017687824946,1.0,1.1050546776104788,0.7769964841788046,0.9085886489201407,0.7607830898517342,0.7837743150686098,0.7631529224902719,0.0
OURS,56.0,MARC-generic,2020-07-07 08:36:04.876504,1.1838632670710165,0.9264575580365054,0.9805658928465946,0.9236574487087744,0.929474805072273,0.9224250403854573,0.0,1.105514568069483,0.7837769964841788,0.9065796082370668,0.7698985613625944,0.793910426011586,0.7720083854119999,1.0
OURS,57.0,MARC-generic,2020-07-07 08:37:06.761298,1.1994495992258019,0.9285840864788233,0.9813338058952094,0.9265676122742721,0.9323073817590816,0.924741796427734,1.0,1.0928449824579634,0.7822702159718734,0.9075841285786037,0.7664303106281002,0.7911588365698927,0.7688234233414957,0.0
OURS,58.0,MARC-generic,2020-07-07 08:38:09.455444,1.1779649702344575,0.9299427018725265,0.9819835784748066,0.9277793620156478,0.9335638918704031,0.9257214926997246,1.0,1.0937761448095458,0.7837769964841788,0.9088397790055248,0.7679775917856865,0.793952467750446,0.7692978095086528,0.0
OURS,59.0,MARC-generic,2020-07-07 08:39:11.674920,1.172747020311889,0.9289975781203852,0.98180636777128,0.9263016612857501,0.9319322513078109,0.9247166916243975,0.0,1.0908069261230458,0.7780010045203415,0.9080863887493722,0.7599191245236698,0.7825115310651883,0.7627565818830879,0.0
OURS,60.0,MARC-generic,2020-07-07 08:40:14.668389,1.18810780957879,0.9329552838324768,0.9823970701163683,0.9305768000236402,0.9351878618893292,0.9290993792317274,1.0,1.0816654877588414,0.7810145655449523,0.9108488196885987,0.766852084892643,0.7908785805252477,0.7677524951621337,0.0
OURS,61.0,MARC-generic,2020-07-07 08:41:17.249620,1.177624402025642,0.9323645814873885,0.9822789296473508,0.9301330801064361,0.9352820611492065,0.9284522686274651,0.0,1.0876938944363463,0.7820190858864892,0.9083375188347564,0.7664492448465461,0.7912632591390192,0.7688890259673392,0.0
OURS,62.0,MARC-generic,2020-07-07 08:42:19.661836,1.158830527821564,0.9335459861775651,0.9834603343375273,0.9310434651743836,0.9359366790243142,0.9298014726002698,1.0,1.076871824138791,0.7827724761426419,0.9113510798593671,0.7691092262321038,0.795540509219451,0.7698383053804739,0.0
OURS,63.0,MARC-generic,2020-07-07 08:43:22.638467,1.169977054507785,0.9364994979030067,0.9841101069171244,0.9348081239862535,0.9395688686123037,0.933205181949999,1.0,1.0739765829443633,0.7860371672526368,0.9103465595178303,0.7722077260214892,0.8002092762751497,0.7719243496351931,1.0
OURS,64.0,MARC-generic,2020-07-07 08:44:25.089909,1.155649535414726,0.9359087955579184,0.9839328962135979,0.9339603328363687,0.9387824034123533,0.9326143991791007,0.0,1.068429464733463,0.7835258663987946,0.910095429432446,0.7687040384307053,0.7897915255728863,0.7701720579732628,0.0
OURS,65.0,MARC-generic,2020-07-07 08:45:27.472329,1.1583291611955089,0.9357315848543919,0.9841101069171244,0.9332719058705272,0.9384794232544283,0.9319400089632608,0.0,1.0638258560017566,0.7852837769964842,0.9108488196885987,0.7703518216671644,0.7973495415574102,0.7713811957787862,0.0
OURS,66.0,MARC-generic,2020-07-07 08:46:29.636096,1.1465803437100868,0.9369720597790773,0.9845826687931951,0.9354006963983967,0.9401330953403116,0.9340983518107197,1.0,1.0652867468202132,0.7870416875941738,0.913360120542441,0.7713361950922415,0.7931691995565135,0.7732974243516412,1.0
OURS,67.0,MARC-generic,2020-07-07 08:47:32.240730,1.1415157740477642,0.9357906550889007,0.9847598794967216,0.9336797048063663,0.9393232682255778,0.931994601364388,0.0,1.06630691483295,0.7862882973380211,0.9121044701155199,0.7701001035661023,0.791448012504141,0.7728922460850172,0.0
OURS,68.0,MARC-generic,2020-07-07 08:48:34.657274,1.1469571573523454,0.9376809025931833,0.9849370902002481,0.9358427505773278,0.9401960209031291,0.934861592127775,1.0,1.0603959808871712,0.7845303867403315,0.913360120542441,0.7682020696813113,0.7932626185687192,0.7699443015708076,0.0
OURS,69.0,MARC-generic,2020-07-07 08:49:36.767073,1.1293146080863448,0.9396302203319747,0.9841691771516333,0.9370544439575188,0.9414423015298216,0.9365188424233613,1.0,1.048538374816994,0.7865394274234053,0.9121044701155199,0.7708788759549723,0.7910376247975095,0.7737053107535036,0.0
OURS,70.0,MARC-generic,2020-07-07 08:50:39.748484,1.138920342903198,0.9423474511193809,0.9852915116073011,0.94040460854102,0.944274836961897,0.9396660269660435,1.0,1.0448863444048098,0.789552988448016,0.9151180311401306,0.7729530892544986,0.7941105627055308,0.7751753322536455,1.0
OURS,71.0,MARC-generic,2020-07-07 08:51:42.079823,1.1244442436585107,0.9397483608009923,0.9849370902002481,0.9378731390609767,0.9420108386315397,0.9368377197179791,0.0,1.0638449545902922,0.7857860371672526,0.9121044701155199,0.7694488019071059,0.7939428726298341,0.771282488149958,0.0
OURS,72.0,MARC-generic,2020-07-07 08:52:45.024885,1.1236078654313526,0.9401027822080453,0.9848189497312304,0.9385368109402372,0.942398278933042,0.9380756991344125,0.0,1.049772833472577,0.7855349070818685,0.9146157709693621,0.7689511657679565,0.7927658498823966,0.77153477379381,0.0
OURS,73.0,MARC-generic,2020-07-07 08:53:47.692341,1.1125238086414095,0.9414023273672396,0.9855277925453364,0.9396751068015844,0.9437958777163838,0.9387639089427314,0.0,1.0479349502362778,0.7882973380210949,0.9113510798593671,0.7731588105546091,0.7973468559356228,0.7753348726240293,0.0
