class,classifier,precision,recall,f1_score,support
47987,Approach2_Step4,1.0,1.0,1.0,3.0
48534,Approach2_Step4,1.0,1.0,1.0,3.0
48657,Approach2_Step4,1.0,1.0,1.0,3.0
49101,Approach2_Step4,1.0,1.0,1.0,3.0
49103,Approach2_Step4,1.0,1.0,1.0,5.0
49804,Approach2_Step4,1.0,1.0,1.0,3.0
49918,Approach2_Step4,0.8,1.0,0.89,4.0
56524,Approach2_Step4,1.0,1.0,1.0,3.0
57158,Approach2_Step4,1.0,1.0,1.0,3.0
59959,Approach2_Step4,1.0,1.0,1.0,2.0
69144,Approach2_Step4,0.75,1.0,0.86,3.0
69181,Approach2_Step4,0.67,0.67,0.67,3.0
69729,Approach2_Step4,1.0,1.0,1.0,3.0
71244,Approach2_Step4,0.0,0.0,0.0,3.0
82947,Approach2_Step4,1.0,1.0,1.0,3.0
84943,Approach2_Step4,1.0,1.0,1.0,3.0
87275,Approach2_Step4,1.0,0.67,0.8,3.0
89850,Approach2_Step4,1.0,1.0,1.0,4.0
89958,Approach2_Step4,1.0,1.0,1.0,3.0
90754,Approach2_Step4,1.0,0.5,0.67,2.0
100174,Approach2_Step4,1.0,1.0,1.0,6.0
100470,Approach2_Step4,1.0,0.67,0.8,3.0
101542,Approach2_Step4,0.75,1.0,0.86,3.0
102640,Approach2_Step4,1.0,1.0,1.0,3.0
102829,Approach2_Step4,1.0,1.0,1.0,3.0
102869,Approach2_Step4,1.0,1.0,1.0,3.0
103387,Approach2_Step4,1.0,1.0,1.0,5.0
103549,Approach2_Step4,1.0,1.0,1.0,3.0
103737,Approach2_Step4,1.0,1.0,1.0,4.0
103840,Approach2_Step4,1.0,1.0,1.0,2.0
103924,Approach2_Step4,1.0,1.0,1.0,7.0
104139,Approach2_Step4,1.0,1.0,1.0,2.0
104312,Approach2_Step4,1.0,1.0,1.0,7.0
104758,Approach2_Step4,1.0,1.0,1.0,3.0
104769,Approach2_Step4,1.0,1.0,1.0,4.0
104921,Approach2_Step4,1.0,1.0,1.0,3.0
105825,Approach2_Step4,1.0,1.0,1.0,3.0
106123,Approach2_Step4,1.0,1.0,1.0,5.0
106154,Approach2_Step4,1.0,0.75,0.86,4.0
106163,Approach2_Step4,0.75,1.0,0.86,3.0
106541,Approach2_Step4,1.0,1.0,1.0,4.0
107009,Approach2_Step4,1.0,0.67,0.8,3.0
107182,Approach2_Step4,1.0,1.0,1.0,3.0
107206,Approach2_Step4,1.0,1.0,1.0,3.0
107623,Approach2_Step4,1.0,1.0,1.0,2.0
108117,Approach2_Step4,1.0,1.0,1.0,5.0
108131,Approach2_Step4,1.0,0.75,0.86,4.0
108841,Approach2_Step4,1.0,1.0,1.0,3.0
109625,Approach2_Step4,0.83,1.0,0.91,5.0
110523,Approach2_Step4,1.0,0.83,0.91,6.0
110953,Approach2_Step4,1.0,1.0,1.0,3.0
110975,Approach2_Step4,1.0,1.0,1.0,3.0
111979,Approach2_Step4,1.0,1.0,1.0,2.0
113194,Approach2_Step4,1.0,0.8,0.89,5.0
113411,Approach2_Step4,1.0,1.0,1.0,6.0
116441,Approach2_Step4,0.75,0.75,0.75,4.0
118449,Approach2_Step4,1.0,1.0,1.0,3.0
119314,Approach2_Step4,1.0,1.0,1.0,3.0
119425,Approach2_Step4,1.0,1.0,1.0,3.0
119431,Approach2_Step4,1.0,1.0,1.0,6.0
121146,Approach2_Step4,1.0,1.0,1.0,3.0
121970,Approach2_Step4,1.0,1.0,1.0,2.0
122357,Approach2_Step4,1.0,1.0,1.0,3.0
124101,Approach2_Step4,1.0,1.0,1.0,4.0
124512,Approach2_Step4,1.0,1.0,1.0,3.0
124522,Approach2_Step4,1.0,1.0,1.0,3.0
124727,Approach2_Step4,1.0,1.0,1.0,4.0
124868,Approach2_Step4,1.0,1.0,1.0,3.0
125164,Approach2_Step4,1.0,1.0,1.0,2.0
126312,Approach2_Step4,1.0,0.5,0.67,2.0
128114,Approach2_Step4,1.0,0.75,0.86,4.0
128268,Approach2_Step4,1.0,1.0,1.0,4.0
129273,Approach2_Step4,1.0,1.0,1.0,2.0
129893,Approach2_Step4,1.0,1.0,1.0,3.0
132468,Approach2_Step4,1.0,1.0,1.0,4.0
133891,Approach2_Step4,1.0,1.0,1.0,4.0
136385,Approach2_Step4,1.0,1.0,1.0,4.0
139378,Approach2_Step4,1.0,1.0,1.0,3.0
142661,Approach2_Step4,1.0,1.0,1.0,4.0
148505,Approach2_Step4,1.0,0.5,0.67,2.0
149121,Approach2_Step4,0.67,0.67,0.67,3.0
153026,Approach2_Step4,1.0,1.0,1.0,2.0
157210,Approach2_Step4,0.0,0.0,0.0,2.0
168955,Approach2_Step4,0.67,1.0,0.8,2.0
