method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,34.0,MARC-geo_only,2020-07-05 18:42:17.108870,0.7638096509694385,0.9603841536614646,0.9891956782713085,0.955109217194901,0.9613995410567381,0.9540718058302862,1.0,0.653413826535488,0.8844827586206897,0.9586206896551724,0.8599934227105821,0.8838638045891932,0.8652356279299285,0.0
OURS,35.0,MARC-geo_only,2020-07-05 18:42:20.867944,0.7494874264345783,0.963985594237695,0.9919967987194878,0.9585195617116279,0.9668982105229078,0.957099017734575,1.0,0.6418458439152817,0.8844827586206897,0.9603448275862069,0.8598525970287628,0.8852886750555143,0.8660991857883049,0.0
OURS,36.0,MARC-geo_only,2020-07-05 18:42:24.620404,0.7578575311779451,0.9659863945578231,0.9911964785914366,0.961360613120728,0.9678669735222617,0.9602792859407498,1.0,0.6465578144994275,0.8810344827586207,0.9603448275862069,0.8542728335703039,0.870772678674233,0.8664816185541574,0.0
OURS,37.0,MARC-geo_only,2020-07-05 18:42:28.391441,0.7298526933022431,0.9643857543017207,0.9915966386554622,0.9598516929464743,0.9663735283462902,0.9589420623282003,0.0,0.6426187789645689,0.8827586206896552,0.9568965517241379,0.8567997683511247,0.8731042848918497,0.8662225511966444,0.0
OURS,38.0,MARC-geo_only,2020-07-05 18:42:32.171329,0.7746474568297167,0.9643857543017207,0.9919967987194878,0.9604200542902092,0.9668796612735853,0.9590099282152164,0.0,0.6468159166903331,0.8862068965517241,0.9586206896551724,0.8612227151087255,0.8764433752775722,0.8694177152726374,0.0
OURS,39.0,MARC-geo_only,2020-07-05 18:42:35.922731,0.7339183924054088,0.9663865546218487,0.9919967987194878,0.9627852339258867,0.9701899143364359,0.9606651401965731,1.0,0.6171030792696722,0.8844827586206897,0.9620689655172414,0.859474089525903,0.8808721934369602,0.8662718973599802,0.0
OURS,40.0,MARC-geo_only,2020-07-05 18:42:39.715042,0.719635643354174,0.969187675070028,0.9931972789115646,0.9645608302777544,0.9711990596744948,0.9637665772061575,1.0,0.6180374363373066,0.8879310344827587,0.9637931034482758,0.8635761762704768,0.8802306933135949,0.8718356772760918,1.0
OURS,41.0,MARC-geo_only,2020-07-05 18:42:43.526807,0.689294805332106,0.9719887955182073,0.9935974389755903,0.9685079527583376,0.9739895464699787,0.9671898055745245,1.0,0.6156008651544308,0.8827586206896552,0.9620689655172414,0.8542307628028446,0.8717863311127559,0.8617813964964224,0.0
OURS,42.0,MARC-geo_only,2020-07-05 18:42:47.305815,0.6656612520601426,0.9715886354541817,0.9935974389755903,0.968451242177579,0.9734905879723058,0.9671204550760439,0.0,0.6071052788660444,0.8896551724137931,0.9637931034482758,0.865245237677423,0.8802224689530389,0.8743029854428818,1.0
OURS,43.0,MARC-geo_only,2020-07-05 18:42:51.050556,0.6817654461240997,0.974389755902361,0.9935974389755903,0.9716068509997609,0.9757100588151376,0.9702242006555519,1.0,0.5944356876200643,0.8879310344827587,0.9620689655172414,0.863076546366702,0.8807262110370919,0.8704169750801874,0.0
OURS,44.0,MARC-geo_only,2020-07-05 18:42:54.848785,0.650860282839561,0.974389755902361,0.9955982392957183,0.9713009685942012,0.9763315040469992,0.9699583749850839,0.0,0.5883700684226792,0.8948275862068965,0.9637931034482758,0.8678646965144985,0.883158565671519,0.8781889958055761,1.0
OURS,45.0,MARC-geo_only,2020-07-05 18:42:58.615985,0.6511788017132513,0.9739895958383353,0.9939975990396158,0.9707645255548388,0.9762823677960296,0.9695907655211622,0.0,0.5893605508681001,0.8896551724137931,0.9620689655172414,0.8631891475384313,0.8762130931820051,0.8714532445102394,0.0
