class,classifier,precision,recall,f1_score,support
13130,Approach2_Step2,1.0,0.8,0.89,5.0
13176,Approach2_Step2,1.0,1.0,1.0,5.0
13220,Approach2_Step2,0.0,0.0,0.0,4.0
13288,Approach2_Step2,1.0,1.0,1.0,11.0
13297,Approach2_Step2,0.92,1.0,0.96,11.0
13355,Approach2_Step2,1.0,0.5,0.67,2.0
13583,Approach2_Step2,1.0,1.0,1.0,2.0
13591,Approach2_Step2,1.0,0.86,0.92,7.0
13617,Approach2_Step2,1.0,1.0,1.0,6.0
13679,Approach2_Step2,1.0,1.0,1.0,3.0
13853,Approach2_Step2,1.0,1.0,1.0,3.0
13916,Approach2_Step2,1.0,1.0,1.0,3.0
14196,Approach2_Step2,0.0,0.0,0.0,4.0
14356,Approach2_Step2,1.0,1.0,1.0,3.0
15018,Approach2_Step2,0.78,1.0,0.88,7.0
15310,Approach2_Step2,1.0,1.0,1.0,2.0
16118,Approach2_Step2,1.0,1.0,1.0,11.0
16586,Approach2_Step2,1.0,1.0,1.0,3.0
16751,Approach2_Step2,1.0,1.0,1.0,3.0
16821,Approach2_Step2,0.0,0.0,0.0,2.0
17065,Approach2_Step2,1.0,0.5,0.67,2.0
17076,Approach2_Step2,0.83,1.0,0.91,5.0
17213,Approach2_Step2,1.0,1.0,1.0,7.0
17227,Approach2_Step2,1.0,1.0,1.0,2.0
17372,Approach2_Step2,1.0,1.0,1.0,2.0
17453,Approach2_Step2,0.67,1.0,0.8,2.0
17672,Approach2_Step2,1.0,1.0,1.0,4.0
17793,Approach2_Step2,1.0,0.67,0.8,3.0
18243,Approach2_Step2,1.0,1.0,1.0,4.0
18398,Approach2_Step2,1.0,1.0,1.0,4.0
18432,Approach2_Step2,1.0,1.0,1.0,2.0
18841,Approach2_Step2,1.0,1.0,1.0,13.0
19440,Approach2_Step2,1.0,1.0,1.0,7.0
19930,Approach2_Step2,1.0,1.0,1.0,2.0
20249,Approach2_Step2,1.0,1.0,1.0,2.0
20599,Approach2_Step2,1.0,1.0,1.0,7.0
21586,Approach2_Step2,0.67,1.0,0.8,2.0
21699,Approach2_Step2,1.0,1.0,1.0,4.0
22121,Approach2_Step2,1.0,1.0,1.0,2.0
22705,Approach2_Step2,1.0,1.0,1.0,3.0
22820,Approach2_Step2,1.0,1.0,1.0,2.0
22955,Approach2_Step2,1.0,1.0,1.0,2.0
23351,Approach2_Step2,1.0,1.0,1.0,6.0
23796,Approach2_Step2,1.0,0.92,0.96,13.0
24244,Approach2_Step2,1.0,1.0,1.0,4.0
24707,Approach2_Step2,1.0,1.0,1.0,4.0
26004,Approach2_Step2,1.0,1.0,1.0,4.0
26066,Approach2_Step2,1.0,1.0,1.0,2.0
26208,Approach2_Step2,1.0,1.0,1.0,3.0
26295,Approach2_Step2,1.0,1.0,1.0,2.0
26408,Approach2_Step2,1.0,1.0,1.0,3.0
26755,Approach2_Step2,1.0,1.0,1.0,5.0
26998,Approach2_Step2,1.0,1.0,1.0,3.0
27250,Approach2_Step2,0.0,0.0,0.0,2.0
27534,Approach2_Step2,0.83,0.71,0.77,7.0
29561,Approach2_Step2,1.0,1.0,1.0,3.0
29598,Approach2_Step2,1.0,1.0,1.0,2.0
29673,Approach2_Step2,0.67,1.0,0.8,2.0
29854,Approach2_Step2,1.0,1.0,1.0,3.0
30186,Approach2_Step2,1.0,0.67,0.8,3.0
