method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,27.0,MARC-specific,2020-07-05 17:30:55.145352,0.11061351079614164,1.0,1.0,1.0,1.0,1.0,0.0,0.4167946535253162,0.9306846999154691,0.9678782755705833,0.9186599788290459,0.9372122414622414,0.9192050264550264,0.0
OURS,28.0,MARC-specific,2020-07-05 17:30:59.760003,0.11041642841197877,1.0,1.0,1.0,1.0,1.0,0.0,0.4247154328950058,0.9306846999154691,0.9687235841081995,0.9166064115386365,0.9319573112073113,0.9193716931216932,0.0
OURS,29.0,MARC-specific,2020-07-05 17:31:04.386528,0.10923910692686398,1.0,1.0,1.0,1.0,1.0,0.0,0.4193547236042716,0.9323753169907016,0.9653423499577346,0.9189596231418481,0.9354427609427609,0.9210383597883598,0.0
OURS,30.0,MARC-specific,2020-07-05 17:31:08.938827,0.10708933156495846,1.0,1.0,1.0,1.0,1.0,0.0,0.4138300151564968,0.9315300084530854,0.9687235841081995,0.9169254013723325,0.9323342953342952,0.918649470899471,0.0
OURS,31.0,MARC-specific,2020-07-05 17:31:13.492243,0.10211179085575436,1.0,1.0,1.0,1.0,1.0,0.0,0.41381314371666056,0.9315300084530854,0.9687235841081995,0.9187053278728471,0.9336715969215968,0.9205939153439154,0.0
OURS,32.0,MARC-specific,2020-07-05 17:31:18.023391,0.1039133575110118,1.0,1.0,1.0,1.0,1.0,0.0,0.4113905577466131,0.9340659340659341,0.9704142011834319,0.9212893827069019,0.935053724053724,0.9226309523809524,1.0
OURS,33.0,MARC-specific,2020-07-05 17:31:22.577173,0.10132616795725255,1.0,1.0,1.0,1.0,1.0,0.0,0.41822982479330856,0.9332206255283179,0.9661876584953508,0.921846179821883,0.9394669312169313,0.9215198412698413,0.0
OURS,34.0,MARC-specific,2020-07-05 17:31:27.197535,0.10524692056090487,1.0,1.0,1.0,1.0,1.0,0.0,0.4182776666151097,0.9340659340659341,0.9695688926458157,0.9223522659257954,0.937037999037999,0.9238161375661376,0.0
OURS,35.0,MARC-specific,2020-07-05 17:31:31.847474,0.10347527665932053,1.0,1.0,1.0,1.0,1.0,0.0,0.4121669283481543,0.9382924767540152,0.967032967032967,0.9276371830547022,0.9418951418951421,0.9285383597883599,1.0
OURS,36.0,MARC-specific,2020-07-05 17:31:36.419683,0.09931360069416137,1.0,1.0,1.0,1.0,1.0,0.0,0.41353927576632593,0.9357565511411665,0.9678782755705833,0.9237299927741105,0.9390472582972582,0.9247605820105821,0.0
OURS,37.0,MARC-specific,2020-07-05 17:31:41.046467,0.09742867674550973,1.0,1.0,1.0,1.0,1.0,0.0,0.4119018268907665,0.9366018596787827,0.9687235841081995,0.9254954468189763,0.9433926166426166,0.9255753968253968,0.0
OURS,38.0,MARC-specific,2020-07-05 17:31:45.664615,0.09654688453450044,1.0,1.0,1.0,1.0,1.0,0.0,0.4058266171739954,0.9382924767540152,0.9721048182586645,0.9268491470166661,0.94377886002886,0.9262420634920636,0.0
OURS,39.0,MARC-specific,2020-07-05 17:31:50.213306,0.0977967587994655,1.0,1.0,1.0,1.0,1.0,0.0,0.40838185277714734,0.9382924767540152,0.9695688926458157,0.926003647200578,0.9427074314574315,0.9269642857142858,0.0
OURS,40.0,MARC-specific,2020-07-05 17:31:54.823751,0.09568397839159651,1.0,1.0,1.0,1.0,1.0,0.0,0.4083560575445325,0.9366018596787827,0.9704142011834319,0.9259829854005045,0.9422987012987013,0.925686507936508,0.0
OURS,41.0,MARC-specific,2020-07-05 17:31:59.426182,0.09529008115050992,1.0,1.0,1.0,1.0,1.0,0.0,0.4122558730896106,0.9382924767540152,0.967032967032967,0.9268471310014923,0.9443142135642135,0.926797619047619,0.0
OURS,42.0,MARC-specific,2020-07-05 17:32:04.032031,0.09566178019358464,1.0,1.0,1.0,1.0,1.0,0.0,0.40693962800734546,0.9366018596787827,0.9737954353338969,0.9230189064511315,0.9385171957671957,0.9244642857142857,0.0
OURS,43.0,MARC-specific,2020-07-05 17:32:08.612926,0.09595138733075313,1.0,1.0,1.0,1.0,1.0,0.0,0.4130576031498252,0.9382924767540152,0.9687235841081995,0.9256626547649565,0.9421415343915343,0.9273531746031747,0.0
OURS,44.0,MARC-specific,2020-07-05 17:32:13.211661,0.09542776036826069,1.0,1.0,1.0,1.0,1.0,0.0,0.4122615667691396,0.9382924767540152,0.9695688926458157,0.9252384070178187,0.9387100769600768,0.9267976190476193,0.0
OURS,45.0,MARC-specific,2020-07-05 17:32:17.793825,0.09279728720743646,1.0,1.0,1.0,1.0,1.0,0.0,0.4111738887915446,0.9349112426035503,0.9712595097210481,0.9211790293584412,0.9350056980056981,0.9230753968253967,0.0
