method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,86.0,MARC-specific,2020-07-06 17:15:28.725652,0.08235246126286228,1.0,1.0,1.0,1.0,1.0,0.0,0.14600775740752564,0.9907081868407835,0.9952285283776996,0.9890043524077667,0.9908506821157425,0.9892053617957232,0.0
OURS,87.0,MARC-specific,2020-07-06 17:17:06.549555,0.08218617978384156,1.0,1.0,1.0,1.0,1.0,0.0,0.14643159718638626,0.9897036664992466,0.9949773982923155,0.9878524479717365,0.9897336376252039,0.9881668643716837,0.0
OURS,88.0,MARC-specific,2020-07-06 17:18:43.898972,0.08227357490411702,1.0,1.0,1.0,1.0,1.0,0.0,0.14730192398692663,0.9904570567553993,0.9947262682069312,0.9881364192015656,0.9902553715806728,0.9883669654753993,0.0
OURS,89.0,MARC-specific,2020-07-06 17:20:22.653397,0.08301239814465154,1.0,1.0,1.0,1.0,1.0,0.0,0.14461694631607672,0.9899547965846308,0.9947262682069312,0.9882456188136048,0.9906370347635408,0.9878447690194678,0.0
OURS,90.0,MARC-specific,2020-07-06 17:22:00.654893,0.08245911752736126,1.0,1.0,1.0,1.0,1.0,0.0,0.14487276976953375,0.9894525364138623,0.9949773982923155,0.9875767353946959,0.9900493359830709,0.9873597397693784,0.0
OURS,91.0,MARC-specific,2020-07-06 17:23:37.862388,0.08216144274718876,1.0,1.0,1.0,1.0,1.0,0.0,0.14573140580455962,0.9907081868407835,0.9947262682069312,0.9887221923308401,0.9906340145797977,0.9888846428003055,0.0
OURS,92.0,MARC-specific,2020-07-06 17:25:15.696750,0.08317933366353109,1.0,1.0,1.0,1.0,1.0,0.0,0.14617490440622039,0.9897036664992466,0.9939728779507785,0.9877281100215739,0.990144488487862,0.9876281516341758,0.0
OURS,93.0,MARC-specific,2020-07-06 17:26:54.083169,0.08326421732859643,1.0,1.0,1.0,1.0,1.0,0.0,0.14350374834822507,0.9914615770969362,0.9947262682069312,0.9898185992510687,0.9917167727408692,0.9899116947309718,0.0
OURS,94.0,MARC-specific,2020-07-06 17:28:31.138167,0.08616013674114872,1.0,1.0,1.0,1.0,1.0,0.0,0.14889910390917707,0.9894525364138623,0.9939728779507785,0.9867867188155638,0.9887947672586227,0.9873494533133087,0.0
OURS,95.0,MARC-specific,2020-07-06 17:30:08.869877,0.08409858190926724,1.0,1.0,1.0,1.0,1.0,0.0,0.14852565052460212,0.9894525364138623,0.99347061778001,0.9871853827637198,0.9893765816958588,0.987551103514959,0.0
OURS,96.0,MARC-specific,2020-07-06 17:31:46.957673,0.08274806746024166,1.0,1.0,1.0,1.0,1.0,0.0,0.15144973234397452,0.9909593169261678,0.9939728779507785,0.9888861335636375,0.9910369249224671,0.9889333725177099,0.0
OURS,97.0,MARC-specific,2020-07-06 17:33:24.269760,0.08248503779798484,1.0,1.0,1.0,1.0,1.0,0.0,0.15301202090914556,0.9899547965846308,0.9939728779507785,0.9879343205581772,0.9901420255335919,0.9881612865046601,0.0
