method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,42.0,MARC-geo_only,2020-07-05 16:46:52.871342,0.7768437166100665,0.9414990859232175,0.9888025594149908,0.9381790402136884,0.9515742015475396,0.9357095032367899,0.0,0.7552597456438719,0.8530954879328436,0.9454354669464848,0.8301905833107878,0.855093314093314,0.835861111111111,0.0
OURS,43.0,MARC-geo_only,2020-07-05 16:46:55.621040,0.7642342811092816,0.9472120658135283,0.9885740402193784,0.9438925143973711,0.9566009972984375,0.9414071642918346,1.0,0.7297355257451597,0.8551941238195173,0.9475341028331584,0.8286740645125353,0.8494205146705146,0.8366190476190476,1.0
OURS,44.0,MARC-geo_only,2020-07-05 16:46:58.385821,0.7512612840811121,0.9483546617915904,0.9892595978062158,0.9444147138777478,0.9558448104077073,0.9426193025991525,1.0,0.7448476038849742,0.8530954879328436,0.9475341028331584,0.82758818089724,0.8519504569504569,0.8341468253968253,0.0
OURS,45.0,MARC-geo_only,2020-07-05 16:47:01.169485,0.7508800485234374,0.9497257769652651,0.9906307129798904,0.9457374727164525,0.9578923371081838,0.9440841948934718,1.0,0.734451318462648,0.8541448058761805,0.9496327387198321,0.829251996999675,0.8545978835978836,0.8362579365079366,0.0
OURS,46.0,MARC-geo_only,2020-07-05 16:47:03.995867,0.7359518704074393,0.95018281535649,0.9917733089579525,0.9465219317124164,0.9555021657725327,0.9455569981814197,1.0,0.7288636325038618,0.8583420776495279,0.9496327387198321,0.8343486927016338,0.8610048100048099,0.8416230158730158,1.0
OURS,47.0,MARC-geo_only,2020-07-05 16:47:06.736140,0.7494531281469509,0.9529250457038391,0.9913162705667276,0.9506112912757991,0.9604268660688714,0.9481254920847948,1.0,0.7230700799825934,0.8625393494228751,0.9485834207764953,0.8350035862120261,0.8537763347763349,0.8435119047619047,1.0
OURS,48.0,MARC-geo_only,2020-07-05 16:47:09.500337,0.7381480245747122,0.9474405850091407,0.9917733089579525,0.9437769918648253,0.9551265523511019,0.9425695690036523,0.0,0.7382475229650579,0.85099685204617,0.9485834207764953,0.824840916179387,0.8516540404040404,0.8338095238095238,0.0
OURS,49.0,MARC-geo_only,2020-07-05 16:47:12.280513,0.7132198563223565,0.9499542961608776,0.9913162705667276,0.9464400600007546,0.959032817576876,0.9446084917913596,0.0,0.7119834440577568,0.8593913955928646,0.9538300104931794,0.8345753892077422,0.8601016113516115,0.8408650793650793,0.0
OURS,50.0,MARC-geo_only,2020-07-05 16:47:15.041430,0.7037258939289741,0.9568098720292505,0.9913162705667276,0.9535571577207672,0.9638228464520644,0.9514338314446358,1.0,0.7158691339577858,0.857292759706191,0.9496327387198321,0.833774097262723,0.861369769119769,0.838920634920635,0.0
OURS,51.0,MARC-geo_only,2020-07-05 16:47:17.782174,0.7087462845188608,0.9568098720292505,0.993601462522852,0.9544646399798965,0.9639005608236406,0.9518697215980105,0.0,0.7060150071931661,0.8551941238195173,0.9496327387198321,0.8304952908151858,0.8585836755836757,0.8359801587301586,0.0
OURS,52.0,MARC-geo_only,2020-07-05 16:47:20.534289,0.6835309143911986,0.958180987202925,0.9926873857404022,0.9551743490826576,0.9649385005959501,0.9530241963883778,1.0,0.7134799850950211,0.8614900314795383,0.9517313746065058,0.8377867073873264,0.862442760942761,0.8465357142857142,0.0
OURS,53.0,MARC-geo_only,2020-07-05 16:47:23.345775,0.6968513488551599,0.9611517367458866,0.993601462522852,0.9584052162706371,0.9670964726295709,0.9567927640431483,1.0,0.6944092117476689,0.8709338929695698,0.9527806925498427,0.849195691649252,0.8714880952380952,0.8561190476190477,1.0
