method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,48.0,MARC-generic,2020-07-05 20:39:26.422306,0.9028917120522907,0.9671868747499,0.994797919167667,0.9662715657251,0.9699057965015072,0.9658284768032278,1.0,1.4276224193901852,0.7,0.8672413793103448,0.6554128082625492,0.6933156509581379,0.672760917838638,0.0
OURS,49.0,MARC-generic,2020-07-05 20:39:33.218085,0.905933627752172,0.9731892757102841,0.994797919167667,0.9721282742212117,0.9747355757773795,0.9720484811320403,1.0,1.4097933428040865,0.6982758620689655,0.8637931034482759,0.6450146622655004,0.6748396249691585,0.6686158401184308,0.0
OURS,50.0,MARC-generic,2020-07-05 20:39:40.152967,0.9014039312471815,0.9719887955182073,0.9951980792316927,0.9717770853334783,0.9746081992015516,0.9715342518027034,0.0,1.4245520211499312,0.7068965517241379,0.8672413793103448,0.657076492202978,0.6902397401102063,0.6744016777695535,1.0
OURS,51.0,MARC-generic,2020-07-05 20:39:47.000338,0.9611573629066342,0.9731892757102841,0.9955982392957183,0.9729135514832401,0.9760433128820094,0.9726199054264952,0.0,1.4249549555367438,0.696551724137931,0.8706896551724138,0.6489474543878689,0.6871227074594949,0.6652479644707624,0.0
OURS,52.0,MARC-generic,2020-07-05 20:39:53.947548,0.8555218488180718,0.9751900760304122,0.9967987194877951,0.9756843963081894,0.9785569431137284,0.9751763259171944,1.0,1.4008163593966385,0.7051724137931035,0.8672413793103448,0.656500901990082,0.6913890944979028,0.6748334566987416,0.0
OURS,53.0,MARC-generic,2020-07-05 20:40:00.695133,0.8009926640734572,0.978391356542617,0.9971988795518207,0.9785244621728781,0.9809469056425215,0.9777747914369452,1.0,1.3990779110069933,0.7,0.8672413793103448,0.6518335198615601,0.6843182005099104,0.6706883789785343,0.0
OURS,54.0,MARC-generic,2020-07-05 20:40:07.505372,0.8466700789641265,0.9767907162865146,0.9971988795518207,0.9775732440266299,0.9794051262042808,0.9779201415854234,0.0,1.3928144966733866,0.7086206896551724,0.8689655172413793,0.6600772047891829,0.695081832387532,0.6818282753515915,1.0
OURS,55.0,MARC-generic,2020-07-05 20:40:14.288757,0.8069271359886346,0.9775910364145658,0.9963985594237695,0.9773680704915177,0.9794144203869657,0.9777430248821353,0.0,1.3909421339117247,0.7120689655172414,0.8689655172413793,0.66118792481182,0.6992392466485731,0.682691833209968,1.0
OURS,56.0,MARC-generic,2020-07-05 20:40:21.138106,0.7842568641617185,0.9819927971188476,0.9975990396158463,0.9827474956171987,0.984433894831078,0.9824866220418763,1.0,1.3741531312465667,0.7120689655172414,0.8706896551724138,0.6635724142429416,0.7038243276585244,0.6813964964224031,0.0
OURS,57.0,MARC-generic,2020-07-05 20:40:27.988315,0.7697380918080733,0.9827931172468988,0.9971988795518207,0.9828169793654478,0.9846110940869038,0.982587767440909,1.0,1.3833540308064427,0.7086206896551724,0.8672413793103448,0.6620636754285032,0.7037544205937988,0.6793239575622996,0.0
OURS,58.0,MARC-generic,2020-07-05 20:40:34.716412,0.8187786251270757,0.9807923169267707,0.9979991996798719,0.9806467832646896,0.9827673227537278,0.9805427791470237,0.0,1.3743876393499046,0.7034482758620689,0.8724137931034482,0.65378959487463,0.6912287194670613,0.6706020231926967,0.0
