method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,21.0,MARC-specific,2020-07-05 19:05:08.404068,0.13727192094003723,1.0,1.0,1.0,1.0,1.0,0.0,0.15499552909065695,0.9913916786226685,0.9971305595408895,0.9867116188359711,0.9864421416234888,0.9893288921786331,0.0
OURS,22.0,MARC-specific,2020-07-05 19:05:16.450651,0.135118729634309,1.0,1.0,1.0,1.0,1.0,0.0,0.15194480354166784,0.9928263988522238,0.9971305595408895,0.9919587608706779,0.9940414507772021,0.9923513446829508,1.0
OURS,23.0,MARC-specific,2020-07-05 19:05:24.675090,0.1263312468951135,1.0,1.0,1.0,1.0,1.0,0.0,0.15042137116236529,0.9899569583931134,0.9971305595408895,0.9853957211470165,0.985405872193437,0.9880335553910683,0.0
OURS,24.0,MARC-specific,2020-07-05 19:05:32.743369,0.12084012724440404,1.0,1.0,1.0,1.0,1.0,0.0,0.1467226553425043,0.9899569583931134,0.9971305595408895,0.9853957211470165,0.985405872193437,0.9880335553910683,0.0
OURS,25.0,MARC-specific,2020-07-05 19:05:40.751299,0.12253091800222869,1.0,1.0,1.0,1.0,1.0,0.0,0.1457463280969918,0.9913916786226685,0.9971305595408895,0.9867116188359711,0.9864421416234888,0.9893288921786331,0.0
OURS,26.0,MARC-specific,2020-07-05 19:05:48.824788,0.11414676696362364,1.0,1.0,1.0,1.0,1.0,0.0,0.14391266756625565,0.9899569583931134,0.9971305595408895,0.9853957211470165,0.985405872193437,0.9880335553910683,0.0
OURS,27.0,MARC-specific,2020-07-05 19:05:56.925381,0.11439584587222883,1.0,1.0,1.0,1.0,1.0,0.0,0.14299785056107356,0.9885222381635581,0.9971305595408895,0.9836686054302635,0.9845423143350603,0.9863064396743152,0.0
OURS,28.0,MARC-specific,2020-07-05 19:06:05.067892,0.11159569504228987,1.0,1.0,1.0,1.0,1.0,0.0,0.14020801894633977,0.9913916786226685,0.9971305595408895,0.9867116188359711,0.9864421416234888,0.9893288921786331,0.0
OURS,29.0,MARC-specific,2020-07-05 19:06:13.192935,0.1092589532911127,1.0,1.0,1.0,1.0,1.0,0.0,0.13839013171161776,0.9899569583931134,0.9971305595408895,0.9853957211470165,0.985405872193437,0.9880335553910683,0.0
OURS,30.0,MARC-specific,2020-07-05 19:06:21.341032,0.10847762292118056,1.0,1.0,1.0,1.0,1.0,0.0,0.13902443461387365,0.9913916786226685,0.9971305595408895,0.9874682600071201,0.9871329879101899,0.9897606711078213,0.0
